Sample_Type,bind,CertControlStore,CertOpenStore,CoCreateInstance,CoCreateInstanceEx,CoGetClassObject,CoInitializeEx,CoInitializeSecurity,connect,ControlService,CopyFileW,CreateActCtxW,CreateDirectoryW,CreateProcessInternalW,CreateRemoteThreadEx,CreateThread,CreateToolhelp32Snapshot,CryptAcquireContextA,CryptAcquireContextW,CryptCreateHash,CryptDecodeObjectEx,CryptDecrypt,CryptEncrypt,CryptExportKey,DecryptMessage,DeleteFileW,DeviceIoControl,DrawTextExA,DrawTextExW,EnumServicesStatusW,EnumWindows,FindFirstFileExW,FindResourceA,FindResourceExA,FindResourceExW,FindResourceW,FindWindowA,FindWindowExA,FindWindowExW,FindWindowW,GetAdaptersAddresses,getaddrinfo,GetAddrInfoW,GetAsyncKeyState,GetBestInterfaceEx,GetComputerNameA,GetComputerNameW,GetCursorPos,GetDiskFreeSpaceExW,GetDiskFreeSpaceW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileVersionInfoExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetForegroundWindow,GetKeyboardState,GetKeyState,GetNativeSystemInfo,GetShortPathNameW,getsockname,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemInfo,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryW,GetTempPathW,GetTimeZoneInformation,GetUserNameA,GetUserNameExW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GlobalMemoryStatus,GlobalMemoryStatusEx,HttpOpenRequestA,HttpQueryInfoA,HttpSendRequestW,InternetCloseHandle,InternetCrackUrlA,InternetCrackUrlW,InternetGetConnectedState,InternetOpenA,InternetReadFile,ioctlsocket,IsDebuggerPresent,IWbemServices_ExecQuery,LdrGetDllHandle,LdrGetProcedureAddress,LdrLoadDll,LdrUnloadDll,LoadResource,LoadStringA,LoadStringW,LookupAccountSidW,LookupPrivilegeValueW,Module32NextW,MoveFileWithProgressW,NetShareEnum,NtAllocateVirtualMemory,NtClose,NtCreateFile,NtCreateKey,NtCreateMutant,NtCreateSection,NtCreateThreadEx,NtDelayExecution,NtDeleteKey,NtDeviceIoControlFile,NtDuplicateObject,NtEnumerateKey,NtEnumerateValueKey,NtFreeVirtualMemory,NtGetContextThread,NtMapViewOfSection,NtOpenDirectoryObject,NtOpenFile,NtOpenKey,NtOpenKeyEx,NtOpenMutant,NtOpenSection,NtOpenThread,NtProtectVirtualMemory,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryFullAttributesFile,NtQueryInformationFile,NtQueryMultipleValueKey,NtQuerySystemInformation,NtQueryValueKey,NtReadFile,NtReadVirtualMemory,NtResumeThread,NtSetContextThread,NtSetInformationFile,NtSetValueKey,NtTerminateProcess,NtWriteFile,NtWriteVirtualMemory,OleInitialize,OpenSCManagerA,OpenSCManagerW,OpenServiceA,OpenServiceW,OutputDebugStringA,PRF,ReadProcessMemory,recv,RegCloseKey,RegCreateKeyExA,RegCreateKeyExW,RegDeleteKeyA,RegDeleteKeyW,RegDeleteValueA,RegEnumKeyExA,RegEnumKeyExW,RegEnumKeyW,RegEnumValueA,RegEnumValueW,RegOpenKeyExA,RegOpenKeyExW,RegQueryInfoKeyA,RegQueryInfoKeyW,RegQueryValueExW,RegSetValueExA,RegSetValueExW,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,select,send,SendNotifyMessageW,sendto,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,setsockopt,SetStdHandle,SetUnhandledExceptionFilter,SetWindowsHookExW,ShellExecuteExW,SHGetFolderPathW,SHGetSpecialFolderLocation,SizeofResource,timeGetTime,WriteConsoleA,WriteConsoleW,WriteProcessMemory,WSARecv,WSASend,unique_domains_contacted,ransomware_signatures_detected,dropped_files_count,HKEY_LOCAL_MACHINE\SOFTWARE\MICROSOFT\Cryptography\,HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\MUI\Settings,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\crypt32,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Nls\,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Internet Settings\,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Internet Settings\,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\services\Tcpip\Parameters\,HKEY_LOCAL_MACHINE\Software\Microsoft\Rpc\,HKEY_LOCAL_MACHINE\SYSTEM\Setup\OOBEInProgress,HKEY_LOCAL_MACHINE\SYSTEM\Setup\SystemSetupInProgress
1,0,0,0,0.125,1,1,0.0,0,0,0,0,1.379282685699738e-22,0.0,0,0,1.057473232611632,1,1,0,0,0,0,0,0,0,1,1,1,0.01923076923077228,0,0,105.65,0,0,29.24234054218331,4,0,0,0,1,0,23,1,0,2,0,1,0,0,0,0.005485547947613453,163.7734083745081,1,68,0.0,0.09090909090855948,0,0.5,0,2691,226,0,0,0,1,0,-0.2,-0.3333333333333333,0.02811189885769361,5.267926060494153e-27,0,1,0,1,0.0,0.374,1,1,0,0,0,1,1,0,0,0,0,0,1,0,26.52912573687817,0.4372553767564682,-0.1784830898481736,-0.04761904761904671,0.05555555555555546,1,1.871518187538586,0,1,19,0,1,0.3989647588298051,-0.0234552774374234,18.34151958657029,1,-0.25,-0.1052631578947324,3,0.05,1,1,0.0,0,0.0,-0.04,0,-0.06956521739130435,0,0.025,0.0203303841042026,574.6823,1,0.0,11,0.1666666666666667,30.16093867247809,29.28342155500707,0,0.05882352941176471,0,46.0,-0.0450306364562018,1.03847162643917e-26,0,1,0,0.5,0,1.069277386385924,0.01351351351351351,0,1,1,1,1,0,0,0,0,0,-0.0418848167539267,0,0,1,0,0,0,0.07142857366634464,0.01,0,1,2.928794782310498,-0.05568445475638011,0,1,-0.02857380131677109,1,0,0,1,0,0,0,0,11,0,0,0,0.07142857142857141,0,97,0,0,-0.5,1,0,0.007681855254382682,0,0.0,0,0,0,0,0,0,0,0,0.5,0,2,1,-0.1875,0.0,0,0.382263209577308,0,0,0,0,1,0.0
0,0,19,0,0.125,1,33,0.1,0,0,0,0,6.82000482410603,0.0,0,0,0.0,1,1,0,0,0,0,0,0,0,1,584,1,0.01923076923077208,0,0,0.41,0,0,36.32715221870915,218,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0.9709263049812631,-0.02127659574468085,1,0,0.0,0.09090909090855948,0,0.5,0,1,0,0,0,1,1,0,0.3,9.000044685102543,-0.04054054054054054,0.1271897007238248,0,1,0,1,0.76,0.374,1,1,0,0,0,1,1,0,0,0,0,0,1,0,-0.09690135966005202,-0.05622173863073865,2.207831552447096,0.4314197858117492,0.05555555555555546,1,-0.07692307692185105,0,1,19,0,1,6.883459515695684,-0.02345527743742342,10.45105255409357,55,0.04,-0.02290784368945735,0,0.05,1,7,0.0,0,0.0,0.58,0,0.05804651748312098,0,0.03,-0.08641975308641961,130.6462,3,3.5,1,9.86752681568453,0.1666666666705045,45.36797745177251,0,0.05882352941176471,0,0.0,-0.04887983706720977,0.0,0,1,0,0.5,149,-0.4999999999999995,0.2028603679935085,0,1,1,1,1,0,0,0,0,0,-0.0418848167539267,0,0,1,0,0,0,0.4508791358895674,0.01,0,1,0.0,-0.03050399976669881,0,1,-0.02905569007263917,1,0,0,1,0,0,0,0,11,0,0,0,0.07142857142857141,0,0,0,0,-0.5,1,0,21.26234160055234,0,0.0,29,0,0,0,0,0,0,0,0.5,0,2,1,0.4021,0.0,0,0.1428571428571544,0,0,186,0,0,0.0
1,0,0,0,0.125,1,1,0.1,0,0,0,0,10.41488150220312,0.0,0,0,2.338200965673528e-31,1,1,0,0,0,0,0,0,0,1,1,1,0.01923076923077121,0,0,0.05,0,0,0.06666666666666665,0,0,0,0,1,0,0,1,0,2,0,1,0,23,0,0.3999075184720271,1.333344751679081,1,13,0.1,6.20273982009606,0,0.5,0,1982,0,0,0,0,1,0,-0.2,1.119587005457943,-0.04054054054054054,2.153975537377599e-21,0,1,0,1,0.0,0.374,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.5677736024905995,-0.04788698456468141,-0.1645883667195046,0.718090534208882,0.05555555555555546,1,3.839916680741859,0,1,19,0,1,2.951538625225687,-0.02345527743742342,-0.0158102766798419,1,1.9,5.196324934753449,0,0.05,1,0,2.69103127411468e-29,0,3.5,-0.04,0,0.8166989725974764,0,5.505,0.3562560830158686,28.8492,1,4.1,1,0.1666666666666667,0.1666666666665997,15.47503039199466,0,0.05882352941176471,0,307818.0,3.8188517436291,0.0001880110606431987,0,1,0,0.5,0,1.445413224293145,0.01351351351351351,0,1,1,1,2,0,0,0,0,0,-0.0418848167539267,0,0,1,0,8,0,0.071428572019777,0.01,0,1,0.0,-0.05568445475637954,0,1,-0.02905569007263923,1,0,0,1,0,0,0,0,11,0,0,0,0.07142857142857141,0,0,0,0,-0.5,1,0,0.007681855254358399,0,12.5,0,0,0,0,0,0,0,0,0.5,0,2,1,-0.0923,0.0,0,0.5171215648618154,0,0,0,0,0,0.0
0,0,0,0,0.125,1,1,0.0,0,0,0,0,12.52532479138343,0.0,3,0,1.324904162035424,1,1,0,0,0,0,0,0,0,1,1,1,28.66394397515993,0,0,0.16,60,0,0.06666666666666665,0,0,0,0,1,0,0,1,0,2,0,1,0,45,0,0.004287888989275883,-0.02127659574468082,1,76,0.0,0.09090909092787705,0,0.5,0,4694,0,0,5,0,1,0,31.6,-0.3333333333333293,3.376434275432806,4.449690137699116e-29,0,1,0,1,5.16,0.374,1,1,0,0,0,1,1,24,0,0,0,0,1,0,-0.1525543446659837,0.1746858202039198,0.03903381005877851,0.6129581846300681,7.654461783128122,1,1.592022161365965,0,5,19,0,1,1.058079857950444,-0.02345527743742338,-0.01493341888280336,1,-0.24,24.13318104681387,0,16.53,1,0,0.0,0,0.0,3.41,0,-0.06719323858467764,0,0.025,-0.08564128409303812,0.0033,1,0.0,1,0.1666666666666667,0.1666666666665932,0.007590132827324477,0,0.05882352941176471,0,19.7,5.921061781754999,1.101650994210977e-25,0,1,0,7.2,114,-0.5,0.01351351351351351,0,1,1,1,12,0,0,0,0,0,-0.04188480745485072,0,0,1,0,0,0,0.07142857165078355,0.68,0,1,0.1223226329858795,0.2024840161281059,0,1,-0.02905569007263905,1,0,0,1,0,0,0,0,12,0,0,0,0.07142857142857141,0,43,0,0,-0.5,1,0,0.007681855255959888,0,0.0,12,0,163,0,0,0,0,0,0.5,0,5,1,-0.1875,0.0,0,0.3904925684848165,0,0,0,0,0,0.0
1,0,0,0,0.125,1,1,0.8,0,0,0,0,0.05543986494900767,0.0,0,0,0.04022115523916111,1,1,2,0,0,0,0,0,0,1,60,1,0.01923076923077087,0,0,10.27,0,0,0.5637447868532388,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1.653156358242664,-0.02127659574468053,1,0,0.0,0.09090909090855948,0,3.6,0,3464,1058,0,4,0,1,0,-0.2,-0.3331856813801398,0.04448091630668902,8.300340842096917e-29,0,1,0,1,0.46,0.374,1,1,0,0,0,1,1,0,0,0,0,0,1,0,-0.1706161137440758,-0.1521311475409836,0.01062516398915792,0.7197065938866407,0.05555555555555546,1,0.9690284762755298,0,1,19,0,1,-0.03289272287013167,-0.02337680623418571,4.865341916070109,1,-0.25,30.66515206831197,0,0.05,1,0,0.0,63,0.0,-0.01,0,-0.06956521739130435,0,0.025,0.005171079541201481,3.6232,2,4.9,1,0.1666666666666667,14.57786914214231,1.906229909366151,0,1.940440263090939,0,0.0,-0.04887983706720977,3.180396008815449e-29,0,1,0,0.5,30,-0.3758924060842965,0.01351351351351351,0,1,1,1,1,0,0,0,0,0,-0.04072288326220817,0,1,1,0,0,0,0.0714285722809016,6.78,0,1,0.127314476754383,-0.05568445475637061,0,1,25.6811638874796,6,0,0,1,0,0,0,0,11,0,0,0,0.07142857142857141,12,0,0,0,-0.5,1,0,0.007712012272586694,0,0.0,0,0,0,0,0,0,0,0,0.5,0,2,1,-0.1875,0.0,0,0.142857142857295,191,0,0,0,0,0.08668845951604294
0,0,0,0,0.125,1,1,0.0,0,0,0,0,10.92744524170097,0.0,5,0,1.519332318543371e-30,1,1,0,0,0,0,0,0,0,1,1,1,0.01923076923078011,0,0,46.48,0,0,5.457474226522262,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0.004287888989275883,13.81884343072479,1,0,1.2,0.09090909090855948,0,0.5,0,1,0,0,2,26,1,0,0.2,-0.3333333333333331,-0.04054054054053679,8.260213940556395e-25,0,1,0,1,0.0,0.374,1,1,0,0,0,1,1,0,0,0,0,0,1,0,-0.1419453388528774,-0.04977490314038896,-0.1853281853281853,0.09058261353903237,0.05555555555555546,38,-0.0769230769230745,0,1,19,0,1,1.684760589552528,-0.02002748597545409,-0.0158102766798419,3,-0.25,-0.1052631578947367,0,0.05,1,0,4.794246944674208,0,0.0,-0.04,4,0.5417870207170957,0,0.025,-0.08641975308641973,760.75,1,0.0,1,162.0591985550958,5.176835994987677,2.841562511598553,0,0.05882352941176471,0,28.0,0.2093531514477673,3.447943891881353e-28,0,1,0,0.5,0,-0.4999999999999906,0.01351351351351351,0,1,1,1,1,0,0,0,0,0,12.16511682609134,0,0,1,0,25,0,0.07142857236772,28.21,0,1,0.0,-0.05368737579883375,0,1,-0.0279431917698656,1,12,0,1,0,0,0,0,11,0,0,0,0.07142857142857141,0,0,0,0,-0.5,1,0,4.394383175935388,22,0.0,0,0,0,0,0,0,0,3,0.5,0,2,1,-0.1875,0.0,0,0.1428571428572676,0,0,6,0,11,8.346580623872743e-29
1,0,0,0,0.125,1,1,3.5,0,0,0,0,1.057386256880458e-18,0.0,0,0,0.0,1,1,0,0,0,0,0,0,0,1,1,1,0.01923076923076978,0,0,6.62,0,0,0.06666666666666665,0,0,0,0,1,86,0,1,0,2,0,1,0,0,0,2.772191444999811,-0.02127659574468071,1,0,0.0,0.09090909090855948,0,0.5,0,2015,0,0,2,0,1,0,-0.2,-0.3333333333333331,-0.0405405405405387,4.046827013118584e-23,21,1,0,1,0.0,0.374,1,1,0,0,0,1,1,0,0,0,0,0,1,0,-0.1700988589173587,0.09561844876061537,6.31083544459297,-0.0476190476189942,0.05555555555555546,1,1.940470839566267,0,1,19,0,1,-0.05809692899939727,-0.010583787447904,-0.0158102766798419,1,-0.07,-0.1052631578947367,0,56.99,1,0,7.23948941381621e-28,0,0.0,0.93,0,-0.05761858938429224,0,0.025,0.03442864446963059,0.0,1,0.0,1,0.1666666666666675,0.1666666666665928,0.007590132827324477,0,0.05882352941176471,0,31.1,-0.04726611726199549,0.0,0,1,0,0.5,165,-0.5,0.01351351351351351,0,1,1,1,14,0,0,0,0,0,-0.0418848167539267,0,0,1,0,0,0,0.07142857757184688,0.01,0,206,0.05405194211273064,0.06016005347222613,0,9,7.25393210750762,1,97,0,1,0,0,0,0,12,0,0,0,7.655532278007324,0,0,0,0,1.8,1,0,0.007681855254338048,0,0.0,0,0,51,0,0,0,0,0,0.5,0,2,1,0.5174,0.0,0,0.142857142857152,114,0,12,0,0,0.0
1,0,0,0,0.125,1,1,0.0,0,0,0,0,1.801120742411913,0.0,0,0,0.5895704276617454,1,1,0,0,0,0,0,0,0,1,1,1,0.01923076923087189,0,0,1.8,14,0,0.06666666666666665,0,0,0,0,1,0,0,1,0,2,0,1,1784,0,0,0.004287888989275883,11.94480346288193,1,0,0.0,0.09090909090855948,0,0.5,0,1,0,0,0,0,1,0,-0.2,-0.3333333333333333,1.132371630358663,0.02344261612357147,0,1,0,1,0.0,0.374,6,1,0,0,0,1,1,0,0,0,0,0,1,0,0.4134322559238884,-0.1521311475409836,-0.1853281853281853,-0.04740339893355491,0.05555555555555546,1,4.419930801649866,0,1,19,0,1,0.8336270800074224,-0.009590393203477956,-0.0158102766798419,1,-0.25,0.6918155011484861,0,20.36,1,0,0.006447922345592086,0,0.0,-0.04,0,-0.0683271119465173,4,0.031,1.728653331648855,0.0,1,2.2,108,0.1666666666666667,0.1666666666665937,54.71105483909025,0,0.05882352941176471,0,0.0,-0.04887983706720977,0.0,10903,1,0,0.5,0,-0.4999999999999999,0.01351351351351351,0,10,1,1,21,0,0,0,4413,0,-0.03578690724020705,0,0,1,0,0,0,0.07142857184533816,0.01,0,1,1.933122398357434,-0.05568445475637897,0,1,-0.02905569007263922,1,0,0,1,0,0,0,0,12,0,0,0,100.9708539179397,0,0,0,0,-0.5,1,0,49.84630070736365,0,0.0,0,0,0,0,0,0,0,0,0.5,0,2,1,-0.1875,0.0,0,0.1428571428572873,0,0,0,0,1,0.0
1,0,0,0,56.954,1,1,0.0,0,0,0,0,3.696206443957478,0.0,0,0,0.0354337868669675,1,1,0,0,0,0,0,0,0,1,1,1,0.01923076923087517,0,0,0.08,0,0,0.06666666666666665,140,45,0,0,1,0,0,1,0,2,0,1,0,0,0,0.004287888989275883,0.2945331723247251,1,0,0.0,0.09090909090855948,0,0.5,0,3205,947,0,1,0,1,1,1.6,1.290729073908651,-0.04054054054053793,0.002113688061391196,0,1,0,1,3.31,0.374,1,1,0,0,0,1,1,0,0,0,0,0,1,0,-0.003733087925649137,-0.1521311475409836,-0.1853281853281791,-0.04265097199865864,0.05555555555555546,1,0.01829501821013108,0,1,19,0,1,-0.06174142038718845,-0.0234552774374234,0.5458958273106035,1,47.2,-0.08729531589036861,2,0.05,1,0,0.02221904437606085,0,0.0,0.68,0,-0.06956521739130435,0,0.025,-0.08641975308641964,0.0,2,0.0,5,3.87215881721735,0.1666666666665928,0.1379519251519699,0,0.05882352941176471,0,8023.2,-0.02885155363419069,0.01162844342487636,0,1,0,0.5,0,-0.4999999999998907,0.8092011798095635,0,1,1,1,1,0,0,0,0,0,0.007702096094961031,23,0,1,0,0,0,0.07142857161301976,0.01,0,1,3.431723079343536,-0.05568445475636509,0,1,-0.01800068230279469,1,0,0,1,0,0,0,0,12,0,0,0,0.07142857142857141,3,0,0,0,-0.5,1,0,0.00768185525435931,0,48.5,0,0,0,0,0,0,0,0,0.5,0,2,1,-0.1194,0.0,0,5.862590060782944,0,0,0,0,0,0.0
1,0,0,0,0.125,1,1,0.0,0,0,0,0,6.400413566764393e-17,0.0,0,0,0.001326896386838317,1,1,0,0,0,0,2661,8,0,1,1307,1,0.01923076923077092,0,0,6.89,0,0,0.06666666666666665,0,0,0,0,1,0,0,1,0,2,0,1,1067,0,0,0.004287888989275883,-0.02127659574468085,1,102,27.25,0.09090909090855948,0,0.5,0,2547,0,0,0,0,1,0,-0.2,-0.3333333333333333,7.216420561732213,0.01328763260527179,0,1,0,1,0.0,0.374,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.8219635928180736,0.06154095297371598,0.1581022854938919,36.1209271002846,0.07164585811801685,258,2.166410391185195,0,1,19,0,1,-0.09508716323296355,-0.02345527743742342,-0.0158102766798419,3,0.44,1.335813608437876,0,0.09,1,0,0.456262181134129,0,0.0,-0.04,0,-0.05212329717338757,0,0.025,-0.07473820893164349,0.0281,1,0.0,4,0.1666666666666668,0.6647928787069319,0.007590132827324477,0,0.05882352941176471,0,30.2,2.483633175704118,1.111156753441021e-28,0,1,0,877.8,0,-0.5,0.01351395467472764,0,1,1,1,16,0,0,0,0,0,-0.0418848167539267,0,0,1,0,0,0,0.0714285716205639,0.01,0,1,1.037563128563621,1.775279037317277,0,1,-0.02367764479071729,1,0,0,1,0,517,0,0,11,0,4622,0,0.07142857142857141,0,346,0,0,-0.5,1,2,0.3604226973412394,0,0.0,0,0,347,0,0,0,0,0,0.5,0,2,1,0.1036,0.0,0,0.142857142857388,0,0,0,0,0,0.0
